Assay_Plate_Barcode,Plate_Map_Name
Plate2_PCO_6ch_4site_10XPA,JUMP-MOA_compound_platemap
Plate3_PCO_6ch_4site_10XPA_Crest,JUMP-MOA_compound_platemap
Plate3_PCO_6ch_4site_10XPA_Crestz,JUMP-MOA_compound_platemap
