Assay_Plate_Barcode,Plate_Map_Name
CP_Broad_Phenix_C_BIN1_1Plane_P1,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_C_BIN1_1Plane_P2,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_C_BIN1_1Plane_P3,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_C_BIN1_1Plane_P4,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_C_BIN1_P1,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_C_BIN1_P2,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_C_BIN1_P3,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_C_BIN1_P4,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_NC_BIN1_1Plane_P1,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_NC_BIN1_1Plane_P2,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_NC_BIN1_1Plane_P3,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_NC_BIN1_1Plane_P4,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_NC_BIN1_P1,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_NC_BIN1_P2,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_NC_BIN1_P3,JUMP-Target-1_compound_platemap
CP_Broad_Phenix_NC_BIN1_P4,JUMP-Target-1_compound_platemap
CPBroadPhenixC1PlaneP1,JUMP-Target-1_compound_platemap
CPBroadPhenixC1PlaneP2,JUMP-Target-1_compound_platemap
CPBroadPhenixC1PlaneP3,JUMP-Target-1_compound_platemap
CPBroadPhenixC1PlaneP4,JUMP-Target-1_compound_platemap
CPBroadPhenixCP1,JUMP-Target-1_compound_platemap
CPBroadPhenixCP2,JUMP-Target-1_compound_platemap
CPBroadPhenixCP3,JUMP-Target-1_compound_platemap
CPBroadPhenixCP4,JUMP-Target-1_compound_platemap
CPBroadPhenixNC1PlaneP1,JUMP-Target-1_compound_platemap
CPBroadPhenixNC1PlaneP2,JUMP-Target-1_compound_platemap
CPBroadPhenixNC1PlaneP3,JUMP-Target-1_compound_platemap
CPBroadPhenixNC1PlaneP4,JUMP-Target-1_compound_platemap
CPBroadPhenixNCP1,JUMP-Target-1_compound_platemap
CPBroadPhenixNCP2,JUMP-Target-1_compound_platemap
CPBroadPhenixNCP3,JUMP-Target-1_compound_platemap
CPBroadPhenixNCP4,JUMP-Target-1_compound_platemap
