Assay_Plate_Barcode,Plate_Map_Name
CPBroadPhenixCP1,JUMP-MOA_compound_platemap
CPBroadPhenixCP2,JUMP-MOA_compound_platemap
CPBroadPhenixCP3,JUMP-MOA_compound_platemap
CPBroadPhenixCP4,JUMP-MOA_compound_platemap
