Assay_Plate_Barcode,Plate_Map_Name
CPBroadPhenixC1PlaneP1,JUMP-Target-1_compound_platemap
CPBroadPhenixC1PlaneP2,JUMP-Target-1_compound_platemap
CPBroadPhenixC1PlaneP3,JUMP-Target-1_compound_platemap
CPBroadPhenixC1PlaneP4,JUMP-Target-1_compound_platemap
CPBroadPhenixCP1,JUMP-Target-1_compound_platemap
CPBroadPhenixCP2,JUMP-Target-1_compound_platemap
CPBroadPhenixCP3,JUMP-Target-1_compound_platemap
CPBroadPhenixCP4,JUMP-Target-1_compound_platemap
CPBroadPhenixNC1PlaneP1,JUMP-Target-1_compound_platemap
CPBroadPhenixNC1PlaneP2,JUMP-Target-1_compound_platemap
CPBroadPhenixNC1PlaneP3,JUMP-Target-1_compound_platemap
CPBroadPhenixNC1PlaneP4,JUMP-Target-1_compound_platemap
CPBroadPhenixNCP1,JUMP-Target-1_compound_platemap
CPBroadPhenixNCP2,JUMP-Target-1_compound_platemap
CPBroadPhenixNCP3,JUMP-Target-1_compound_platemap
CPBroadPhenixNCP4,JUMP-Target-1_compound_platemap
